iter	RMSE
0	1646.587992
1	1264.654878
2	997.7398209
3	834.9998816
4	716.1893625
5	627.0163961
6	559.3236342
7	498.9498224
8	489.094345
9	466.4806791
10	426.9229094
11	406.8133712
12	384.4418897
13	373.9518139
14	370.0753653
15	368.1447633
16	352.773957
17	348.3818539
18	340.5507493
19	333.7758539
20	326.1986187
21	324.5399581
22	323.7745873
23	322.2739939
24	322.1912626
25	313.831715
26	313.0033489
27	312.7020919
28	312.3509815
29	312.3256027
30	312.3011708
31	307.2875807
32	299.4898451
33	299.4862509
34	299.4192264
35	299.3251028
36	299.313927
37	297.0561001
38	297.0426142
39	291.3774471
40	288.6808478
41	288.6422239
42	284.8111611
43	284.4478024
44	283.0104294
45	275.1748116
