iter	Passed	Remaining
0	10	20744
1	30	30126
2	127	84900
3	158	79043
4	524	209123
5	884	293982
6	3018	859484
7	3740	931360
8	3748	829343
9	3779	752204
10	5924	1071232
11	6289	1041976
12	7698	1176668
13	8057	1143039
14	8111	1073361
15	8208	1017902
16	8919	1040479
17	8933	983686
18	10360	1080251
19	10379	1027614
20	10565	995657
21	10618	954681
22	10632	913931
23	10663	877970
24	10671	843066
25	10703	812606
26	10716	783095
27	10724	755341
28	10743	730206
29	10751	706014
30	10758	683320
31	10789	663523
32	10973	654099
33	10980	634951
34	10989	616954
35	10996	599929
36	11004	583829
37	11188	577661
38	11197	563012
39	13350	654165
40	15535	742291
41	15545	724725
42	17688	805023
43	17708	787216
44	19868	863187
45	22008	934864
